graphical_culture = muslimgfx
color = {
  76
  141
  58
}
historical_idea_groups = {
  religious_ideas
  defensive_ideas
  trade_ideas
  offensive_ideas
  spy_ideas
  diplomatic_ideas
  quantity_ideas
  economic_ideas
}
historical_units = {
  mamluk_archer
  mamluk_cavalry_charge
  mamluk_duel
  mamluk_musket_charge
  muslim_mass_infantry
  muslim_dragoon
  ali_bey_reformed_infantry
}
monarch_names = {
  "阿诗玛 #0" = -1  # Asma #0
  "尤斯拉 #0" = -1  # Yusra #0
  "沙希拉 #0" = -1  # Shahira #0
  "拉吉亚 #0" = -1  # Rajya #0
  "尤努斯 #0" = 0  # Yunus #0
  "赛义德 #0" = 20  # Sa'id #0
  "萨迪 #0" = 0  # Sa'di #0
  "卡西姆 #0" = 0  # Qasim #0
  "尼扎尔 #0" = 0  # Nizar #0
  "纳迪姆 #0" = 0  # Nadim #0
  "贾比尔 #0" = 0  # Jabir #0
  "伊利亚斯 #0" = 0  # Ilyas #0
  "哈提姆 #0" = 0  # Hatim #0
  "盖特 #0" = 0  # Ghayth #0
  "法德勒 #0" = 0  # Fadl #0
  "巴希尔 #0" = 0  # Basir #0
  "阿卜杜勒 马利克 #0" = 0  # 'Abd al-Malik #0
  "沙里赫 #1" = 10  # Sâlih #1
  "库屈克 #1" = 10  # Kûjûk #1
  "伊斯玛仪 #1" = 10  # Isma'îl #1
  "哈桑 #1" = 10  # Hassan #1
  "阿布 巴卡尔 #1" = 10  # Abû Bakr #1
  "沙班 #2" = 10  # Sha'bân #2
  "哈吉 #2" = 10  # Hâjjî #2
  "拜巴尔斯 #2" = 10  # Baybars #2
  "阿里 #2" = 10  # 'Ali #2
  "巴尔库克 #1" = 15  # Barqûq #1
  "优素福 #0" = 20  # Yûsuf #0
  "占布拉特 #0" = 20  # Jânbulât #0
  "叶勒拜 #0" = 20  # Yalbay #0
  "奥斯曼 #0" = 20  # 'Uthman #0
  "帖木儿不花 #0" = 20  # Timurbughâ #0
  "谢赫 马哈茂迪 #0" = 20  # Shaik al-Mahmudi #0
  "卡伊特巴 #0" = 20  # Qâyit Bay #0
  "贾科马克 #0" = 20  # Jaqmaq #0
  "巴尔斯拜 #0" = 20  # Barsbay #0
  "纳速儿 法赖吉 #0" = 20  # al-Nasr Faraj #0
  "穆斯塔因 #0" = 20  # al-Musta'in #0
  "阿卜杜勒 阿齐兹 #0" = 20  # 'Abd al-'Aziz #0
  "胡思卡丹 #1" = 20  # Khusqadam #1
  "伊纳勒 #0" = 20  # Inâl #0
  "贾法尔 #0" = 10  # Djafar #0
  "马赛义德 #0" = 10  # Masa'id #0
  "穆巴拉克 #0" = 10  # Mubarak #0
  "叶海亚 #0" = 10  # Yahya #0
  "阿卜杜拉 #0" = 20  # 'Abdullah #0
  "阿布 穆欣 #0" = 10  # 'Abul Muhsin #0
  "阿卜杜勒 哈利姆 #0" = 10  # 'Abdul-Karim #0
  "萨阿德 #0" = 10  # Sa'ad #0
  "纳米 #0" = 10  # Nami #0
  "宰德 #0" = 10  # Zaid #0
  "马苏德 #0" = 30  # Mas'ud #0
  "穆欣 #0" = 10  # Mushin #0
  "阿布 安 伊德里斯 #0" = 10  # Abu Aun Idris #0
  "阿布 塔利卜 #0" = 10  # Abu Talib #0
  "塔克巴 #0" = 10  # Takaba #0
  "盖伊特 #0" = 10  # Qa'it #0
  "胡迈达 #1" = 10  # Humaida #1
  "艾哈迈德 #2" = 50  # Ahmad #2
  "哈扎 #0" = 10  # Hazza #0
  "巴拉卡特 #0" = 30  # Barakât #0
  "吐曼 贝伊 #0" = 40  # Tûmân Bay #0
