graphical_culture = westerngfx
color = {
  75
  130
  135
}
revolutionary_colors = {
  1
  5
  8
}
historical_idea_groups = {
  trade_ideas
  defensive_ideas
  economic_ideas
  maritime_ideas
  offensive_ideas
  innovativeness_ideas
  quality_ideas
  quantity_ideas
}
historical_units = {
  western_medieval_infantry
  western_medieval_knights
  western_men_at_arms
  swiss_landsknechten
  dutch_maurician
  austrian_tercio
  austrian_grenzer
  austrian_hussar
  austrian_white_coat
  austrian_jaeger
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "拉法埃拉 #0" = -1  # Raffaela #0
  "玛丽安尼 #0" = -1  # Marianne #0
  "奥吞 #0" = -1  # Ortrun #0
  "文策尔 #0" = 10  # Wenzel #0
  "鲁普莱希特 #0" = 10  # Ruprecht #0
  "马克西米利安 #0 菲利普" = 10  # Maximilian #0 Philipp
  "利奥波德 #0 约翰" = 10  # Leopold #0 Johann
  "利奥波德 #0 斐迪南" = 10  # Leopold #0 Ferdinand
  "约翰 #0 利奥波德" = 10  # Johann #0 Leopold
  "约翰 #0 卡尔" = 10  # Johann #0 Karl
  "赫克托 #0" = 10  # Hektor #0
  "克里斯蒂安 #0 阿尔布雷希特" = 10  # Christian #0 Albrecht
  "安东 #0" = 10  # Anton #0
  "亚历山大 #0" = 10  # Alexander #0
  "弗里德里希 #0 威廉" = 10  # Wilhelm #0 Friedrich
  "奥古斯特 #0 威廉" = 10  # August #0 Wilhelm
  "路德维希 #4" = 10  # Ludwig #4
  "卡尔 #4 约瑟夫" = 10  # Karl #4 Joseph
  "西格蒙德 #0" = 15  # Siegmund #0
  "莫尔提茨 #0" = 15  # Mortiz #0
  "马蒂亚斯 #0" = 15  # Matthias #0
  "利奥波德  #0" = 15  # Leopold #0
  "拉迪斯拉夫 #0" = 15  # Ladislav #0
  "约翰 #0 西格蒙德" = 15  # Johann #0 Siegmund
  "约翰 #0 弗里德里希" = 15  # Johann #0 Friedrich
  "约翰 #0 西塞罗" = 15  # Johann #0 Cicero
  "约翰 #0" = 15  # Johann #0
  "约阿希姆 #0 涅斯托尔" = 15  # Joachim #0 Nestor
  "约阿希姆 #0 赫克托尔" = 15  # Joachim #0 Hector
  "格奥尔格 #0 威廉" = 15  # Georg #0 Wilhelm
  "格奥尔格 #0" = 15  # Georg #0
  "弗朗茨 #0 斯特凡" = 15  # Franz #0 Stefan
  "斐迪南 #0 玛丽亚" = 15  # Ferdinand #0 Maria
  "欧内斯特 #0" = 15  # Ernest #0
  "奥古斯特 #0" = 15  # August #0
  "阿尔布雷希特 #1 阿基里斯" = 15  # Albrecht #1 Achilles
  "腓特烈 #2 克里斯蒂安" = 15  # Friedrich #2 Christian
  "腓特烈 #2 阿尔布雷希特" = 15  # Friedrich #2 Albrecht
  "卡尔 #4 泰奥多尔" = 15  # Karl #4 Theodor
  "卡尔 #4 阿尔布雷希特" = 15  # Karl #4 Albrecht
  "海因里希 #7" = 15  # Heinrich #7
  "约瑟夫 #0" = 20  # Joseph #0
  "弗朗茨 #0" = 20  # Franz #0
  "马克西米连 #0" = 20  # Maximilian #0
  "约翰 #0 格奥尔格" = 20  # Johann #0 Georg
  "克里斯蒂安 #0" = 20  # Christian #0
  "卡尔 #4" = 20  # Karl #4
  "威廉 #0" = 30  # Wilhelm #0
  "斐迪南 #0" = 30  # Ferdinand #0
  "腓特烈 #2 奥古斯特" = 30  # Friedrich #2 August
  "弗里德里希 #2 威廉" = 40  # Friedrich #2 Wilhelm
  "阿尔布雷希特 #1" = 50  # Albrecht #1
  "腓特烈 #2" = 60  # Friedrich #2
}
leader_names = {
  "亚当"  # Adam
  "安戈尔曼"  # Angermann
  "阿佩尔特"  # Appelt
  "阿恩特"  # Arndt
  "贝克"  # Beck
  "贝克尔"  # Becker
  "贝宁"  # Bening
  "布拉修斯"  # Blasius
  "布里茨"  # Brilz
  "布胡扎尔"  # Bröser
  "布余特纳"  # Büttner
  "卡尔"  # Carl
  "达姆"  # Dahm
  "德内克"  # Deneke
  "诶克施坦恩"  # Eckstein
  "伊德尔曼恩"  # Edelmann
  "埃尔斯纳"  # Elsner
  "费尔"  # Feil
  "费舍尔"  # Fischer
  "弗兰克"  # Franke
  "基维尔"  # Giewer
  "哈瑟"  # Haase
  "哈弗纳"  # Hafner
  "赫梯尔"  # Hertel
  "赫尔施"  # Hirsch
  "薛恩"  # Höhn
  "卡梅尔"  # Kammel
  "凯勒"  # Keller
  "凯斯勒"  # Kessler
  "柯珀"  # Koeppe
  "科恩"  # Kohn
  "克雷默"  # Krämer
  "库恩"  # Kuhn
  "林德纳"  # Lindner
  "梅尔特斯多夫"  # Mertesdorf
  "迈耶"  # Meyer
  "米克"  # Mick
  "穆勒"  # Müller
  "内克尔"  # Necker
  "诺尔"  # Noell
  "乌厄格迈拉"  # Oelgemöller
  "哈珀"  # Raabe
  "海纳"  # Rainer
  "沙尔夫比利希"  # Scharfbillig
  "沙乌厄"  # Schave
  "舍勒"  # Scheler
  "施密特"  # Schmitt
  "施奈德"  # Schneider
  "舒曼"  # Schumann
  "施特凡"  # Stephan
  "泰伦"  # Thelen
  "特里尔韦勒"  # Trierweiler
  "乌利希"  # Uhlig
  "冯 弗兰肯"  # von Franken
  "冯 罗滕堡"  # von Rothenburg
  "冯 施瓦本"  # von Schwaben
  "冯 维策"  # von Vitzgau
  "冯 魏玛"  # von Weimar
  "瓦克斯穆特"  # Wachsmuth
  "卫斯滕"  # Wacht
  "冯 维尔"  # von Werl
  "瓦尔特"  # Walther
  "维克尔"  # Wecker
}
ship_names = {
  "吕贝克之鹰"  # Adler von Lübeck
  "汉堡海军"  # Admiralität von Hamburg
  "诺亚方舟"  # Arche Noah
  "勃兰登堡龙骑士"  # Brandenburgischer Dragoner
  "勃朗特公牛"  # Brunte Kuh
  "夏洛特 露易丝"  # Charlotte Louise
  "勃兰登堡选帝侯"  # Churfürst von Brandenburg
  "友善的选帝侯"  # Churfürtstlische Liebjagd
  "勃兰登堡太子"  # Churprinz von Brandenburg
  "克莱文舍 林登勃姆"  # Clevesche Lindenbaum
  "雄鹰"  # Der Große Adler
  "库尔兰的年轻王子"  # Der Jungste Prinz von Churlandt
  "红狮"  # Der Rote Löve
  "德雷鲱鱼"  # Die Drey Heringe
  "七省"  # Die Sieben Provinzien
  "三鲱鱼"  # Drei Heringe
  "天使加布里埃"  # Engel Gabriel
  "飞龙"  # Fliegender Drache
  "飞鹿"  # Fliegender Hirsch
  "腓特烈 卡尔"  # Friedrich Carl
  "腓特烈大帝"  # Friedrich der Große
  "马背上的腓特烈 威廉"  # Friedrich Wilhelm zu Pferde
  "腓特烈 威廉"  # Friedrich Wilhelm
  "小泼妇"  # Füchslein
  "黄狮"  # Gelber Löve
  "金狮"  # Goldener Löve
  "马克伯国"  # Grafschaft Mark
  "大帆船"  # Große Jacht
  "大选帝侯"  # Großer Kurfürst
  "绿龙"  # Grüner Drache
  "克里夫公国"  # Herzogtum Cleve
  "大雅各布斯"  # Jacobus Major
  "小雅各布斯"  # Jacobus Minor
  "耶苏斯 冯 吕贝克"  # Jesus von Lübeck
  "布道者 约翰尼斯"  # Johannes de Evangelist
  "荣格 托比亚斯"  # Jonge Tobias
  "凯撒巴巴罗萨"  # Kaiser Barbarossa
  "凯撒卡尔大帝"  # Kaiser Karl der Große
  "凯撒琳奥古斯塔"  # Kaiserin Augusta
  "施潘道城堡"  # Kastell Spandau
  "普鲁士王储"  # Kronprinz van Preußen
  "阿尔伯特国王"  # König Albert
  "大卫王"  # König David
  "普鲁士国王"  # König von Preußen
  "西班牙国王"  # König von Spanien
  "威廉国王"  # König Wilhelm
  "利奥波德一世"  # Leopoldus Primus
  "丽莎 冯 吕贝克"  # Lisa von Lübeck
  "利陶尔 鲍尔"  # Littauer Bauer
  "罗维斯 夏洛特"  # Lovise Charlotte
  "卢比沙 陶兹"  # Lybischer Trotz
  "吕贝克之鹰"  # Lübscher Adler
  "玛利亚 卡塔琳娜"  # Maria Catharina
  "马克格拉夫 冯 勃兰登堡"  # Markgraf von Brandenburg
  "米夫 冯 库尔兰"  # Meve von Churlandt
  "北欧狮"  # Nordischer Löwe
  "彼得和保罗"  # Peter und Paul
  "彼得 冯 但泽"  # Peter von Danzig
  "普鲁士之鹰"  # Preußischer Adler
  "公主玛丽亚"  # Princess Maria
  "阿德尔伯特亲王"  # Prinz Adalbert
  "路德维希亲王"  # Prinz Ludwig
  "菲利普亲王"  # Prinz Philipp
  "冯·普鲁士亲王"  # Prinz von Preußen
  "威廉亲王"  # Prinz Wilhelm
  "玛利亚公主"  # Prinzess Maria
  "韦恩海姆公主"  # Prinzess Wilhelm
  "库尔兰公主"  # Prinzessin von Churlandt
  "摄政王路易波德"  # Prinzregent Luitpold
  "先知丹尼尔"  # Prophet Daniel
  "骑士圣盖奥格"  # Ritter Sankt Georg
  "红鹿"  # Roter Hirsch
  "红狮"  # Rother Löve
  "施洗者圣约翰内斯"  # Sankt Johannes der Täufer
  "圣约瑟夫"  # Sankt Josef
  "圣劳伦斯"  # Sankt Laurens
  "圣彼得"  # Sankt Peter
  "奥拉宁堡宫"  # Schloss Oranienburg
  "黑鸦"  # Schwarzer Rabe
  "七省"  # Sieben Provinzien
  "埃姆登城"  # Stad Emden
  "维多利亚 露易丝"  # Victoria Louise
  "狮鹫"  # Vogel Greif
  "不莱梅之纹章"  # Wapen von Bremen
  "汉堡之纹章"  # Wapen von Hamburg
  "雅各布斯公爵之纹章"  # Wappen des Herzogs Jacobus
  "勃兰登堡之纹章"  # Wappen von Brandenburg
  "不莱梅之纹章"  # Wappen von Bremen
  "库尔兰之纹章"  # Wappen von Churlandt
  "克里夫之纹章"  # Wappen von Cleve
  "罗威瑟公爵夫人之纹章"  # Wappen von Herzoginnen Lovise
  "黑森 洪堡之纹章"  # Wappen von Hessen Homburg
  "白狮"  # Weißer Löwe
  "威廉明娜 玛格丽塔"  # Wilhelmina Margaretta
  "威廉明尼 玛格丽特"  # Wilhelmine Margrethe
  "两个兄弟"  # Zwei Brüder
  "阿非利加人"  # Afrikaner
  "亚马逊"  # Amazone
  "安娜"  # Anna
  "阿米纽斯"  # Arminius
  "巴巴罗萨"  # Barbarossa
  "蛇妖"  # Basilisk
  "巴伐利亚"  # Bayern
  "贝奥武夫"  # Beowulf
  "柏林"  # Berlin
  "贝尔施泰因范格"  # Bersteinfänger
  "比勒费尔德"  # Bielefeld
  "闪电"  # Blitz
  "花盆"  # Blumentopf
  "布拉克"  # Bracke
