graphical_culture = asiangfx
color = {
    33
    168
    103
}
historical_idea_groups = {
    religious_ideas
    offensive_ideas
    trade_ideas
    defensive_ideas
    economic_ideas
    spy_ideas
    diplomatic_ideas
    administrative_ideas
}
historical_units = {
    east_asian_spearmen
    eastern_bow
    asian_arquebusier
    asian_charge_cavalry
    asian_mass_infantry
    asian_musketeer
    reformed_asian_musketeer
    reformed_asian_cavalry
}
monarch_names = {
    "Lodrö Tob #0" = 20
    "Panchen Ana #0" = 20
    "Namkha #0" = 1
    "Luphel #0" = 0
    "Chang-chub #0" = 0
    "Trakpa Richen #0" = 0
    "Trakpa Chungne #0" = -1
    "Lobsang Yeshe #0" = -1
    "Ngapoi Takna #0" = 20
    "Tashi Chophel #0" = 0
    "Rabtan #0" = 20
    "Galdan #0" = 0
    "Kamala #0" = -1
    "Kamala #0" = -1
    "Surah Palinyal #0" = -1
    "Deki Choden #0" = -1
    "Gyeltshen Bum #0" = 20
    "Lhündrub #0" = 1
    "Sakya Gyantsen #0" = 0
    "Sangye Gyamtso #0" = -1
    "Jigme Wangyal #0" = 0
}
leader_names = {
    "Se"  # Se
    "Rmu"  # Rmu
    "Ldong"  # Ldong
    "Stong"  # Stong
    "Dbra"  # Dbra
    "Dru"  # Dru
    "Nyang"  # Nyang
    "Sbas"  # Sbas
    "Gnon"  # Gnon
    "Chespong"  # Chespong
    "Thonmi"  # Thonmi
    "Mgar"  # Mgar
    "Bri"  # Bri
    "Mong"  # Mong
    "Zhang"  # Zhang
    "Mchims"  # Mchims
    "Bal"  # Bal
    "Lang"  # Lang
    "Cogro"  # Cogro
    "Bro"  # Bro
    "Dbas"  # Dbas
    "Shudpu"  # Shudpu
    "Gnyags"  # Gnyags
    "Mgus"  # Mgus
    "Mjang"  # Mjang
    "Snang"  # Snang
    "Sgro"  # Sgro
    "Rma"  # Rma
    "Snyiba"  # Snyiba
    "Khu"  # Khu
    "Khun"  # Khun
    "Mkar"  # Mkar
    "Rlangs"  # Rlangs
    "Rinspungs"  # Rinspungs
    "Zhingshag"  # Zhingshag
    "Phjongsrgjas"  # Phjongsrgjas
    "Nganlam"  # Nganlam
    "Sba"  # Sba
    "Lig"  # Lig
    "Khjungpo"  # Khjungpo
    "Dbas"  # Dbas
    "Mnyammed"  # Mnyammed
}
ship_names = {
    "Barkam"  # Barkam
    "Dartsendo"  # Dartsendo
    "Gyantse"  # Gyantse
    "Gartse"  # Gartse
    "Lhasa"  # Lhasa
    "Lhotse"  # Lhotse
    "Makalu"  # Makalu
    "Nagqu"  # Nagqu
    "Nyingchi"  # Nyingchi
    "Nedong"  # Nedong
    "Pelbar"  # Pelbar
    "Qamdo"  # Qamdo
    "Shigatse"  # Shigatse
    "Sakya"  # Sakya
    "Tinggri"  # Tinggri
}
