233 = "康努比亚"  # Cornubia
234 = "汉通尼亚"  # Hantonia
235 = "坎提翁"  # Cantium
236 = "伦蒂尼恩"  # Londinium
237 = "俄克索尼亚"  # Oxonia
238 = "艾塞克希亚"  # Essexia
239 = "格勒翁"  # Glevum
240 = "墨尔基亚"  # Mercia
241 = "克拉摩甘尼亚"  # Clamorgania
242 = "威涅多提亚"  # Venedotia
243 = "林冬"  # Lindum
244 = "克斯特里亚"  # Cestria
245 = "艾伯拉肯"  # Eboracum
246 = "诺森布里亚"  # Northumbria
247 = "孔布里亚"  # Cumbria
1830 = "诺福尔基亚"  # Norfolcia
1861 = "德比亚"  # Derbia
4130 = "萨默顿"  # Somerton
88 = "阿特雷巴特"  # Atrebas
89 = "皮卡迪亚"  # Picardia
167 = "罗托马古斯"  # Rothomagus
168 = "诺曼尼亚"  # Normannia
169 = "阿尔摩里卡"  # Armorica
170 = "菲尼斯特雷"  # Finis Terrae
171 = "马里库隆"  # Mariculum
172 = "楠涅同港"  # Portum Namnetum
173 = "拉普尔敦"  # Lapurdum
174 = "布尔狄加拉"  # Burdigala
175 = "奥古斯塔-奥斯科戎"  # Augusta Auscorum
176 = "贝涅阿尔尼亚"  # Benearnia
177 = "刻诺曼农"  # Cenomanum
178 = "安得卡维斯"  # Andecavis
179 = "阿瓦里孔-比图里贡"  # Avaricum Biturigum
180 = "庇克塔维翁"  # Pictavium
182 = "孔彭迪翁"  # Compendium
183 = "卢忒提亚"  # Lutetia
184 = "奥雷利安尼翁"  # Aurelianium
186 = "杜罗科耳托戎"  # Durocortorum
187 = "巴耳戎"  # Barrum
188 = "墨提斯"  # Mettis
189 = "洛塔林吉亚"  # Lotharingia
190 = "波旁尼亚"  # Burbonia
191 = "尼威尔农"  # Nivernum
192 = "勃艮狄亚"  # Burgundia
193 = "利贝尔-科米塔图斯"  # Liber Comitatus
194 = "杜拉尼乌斯"  # Duranius
195 = "奥古斯托里同"  # Augustoritum
196 = "托洛萨"  # Tolosa
198 = "塞戈杜农"  # Segodunum
199 = "阿威尔尼亚"  # Arvernia
200 = "蒙斯佩苏拉努斯"  # Monspesullanus
201 = "塞克斯提乌斯泉"  # Aquae Sextiae
203 = "卢格敦努姆"  # Lugdunum
204 = "得尔菲那图斯"  # Delphinatus
205 = "萨包狄亚"  # Sabaudia
1743 = "卡墨拉孔"  # Cameracum
1877 = "夸德里革莱"  # Quadrigellae
1879 = "阿朗科尼翁"  # Alenconium
2753 = "纳尔博"  # Narbo
2991 = "瓦鲁斯"  # Varus
4111 = "墨狄俄拉农-珊托农"  # Mediolanum Santonum
4112 = "卡杜尔孔"  # Cadurcum
197 = "佩尔庇尼安农"  # Perpinianum
206 = "加莱基亚"  # Gallaecia
207 = "阿斯图里埃"  # Asturiae
208 = "雷及欧"  # Legio
209 = "比斯卡亚"  # Biscaia
211 = "皮雷奈伊"  # Pyrenaei
212 = "格伦达"  # Gerunda
214 = "凯撒奥古斯塔"  # Caesaraugusta
215 = "瓦尔多勒同"  # Valdoletum
216 = "萨尔曼提卡"  # Salmantica
217 = "马特里同"  # Matritum
218 = "埃梅里达-奥古斯塔"  # Emerita Augusta
219 = "托勒同"  # Toletum
220 = "瓦伦提亚"  # Valentia
223 = "格拉纳塔"  # Granata
224 = "希斯帕利斯"  # Hispalis
225 = "科尔杜巴"  # Corduba
226 = "吉布剌尔塔里亚"  # Gibraltaria
227 = "俄利西波"  # Olisipo
228 = "维索"  # Viso
229 = "厄玻剌"  # Ebora
230 = "俄索诺巴"  # Ossonoba
231 = "卡勒港"  # Portus Cale
232 = "布里甘提亚"  # Brigantia
366 = "卡那里亚群岛"  # Canaria Insulae
368 = "马忒里埃岛"  # Insula Materiae
1746 = "部尔吉"  # Burgi
1747 = "诺尔巴-凯撒里娜"  # Norba Caesarina
1748 = "盖恩那"  # Gaiena
1749 = "加得斯"  # Gades
1750 = "卢肯同"  # Lucentum
1851 = "科宁布里加"  # Conimbriga
2754 = "马尼卡"  # Manica
2755 = "俄里亚"  # Oria
2987 = "乌尔革隆"  # Urgellum
2988 = "塔拉科"  # Tarraco
2989 = "里俄伊亚"  # Rioiia
2990 = "忒鲁利翁"  # Terulium
101 = "革努亚"  # Genua
102 = "尼开亚"  # Nicaea
103 = "佩得蒙提翁"  # Pedemontium
104 = "墨狄俄拉农"  # Mediolanum
107 = "布里克西亚"  # Brixia
111 = "尤利乌斯厅"  # Forum Iulii
112 = "威涅提亚"  # Venetiae
113 = "费拉里亚"  # Ferraria
114 = "罗马涅亚"  # Romania
115 = "比萨"  # Pisae
116 = "佛罗伦提亚"  # Florentia
117 = "塞纳尤利亚"  # Sena Iulia
120 = "阿普鲁提翁"  # Aprutium
121 = "尼亚波利斯"  # Neapolis
122 = "萨楞同"  # Sallentum
123 = "布鲁提翁"  # Bruttium
124 = "墨沙拿"  # Messana
125 = "帕诺尔穆斯"  # Panormus
126 = "墨利塔"  # Melita
127 = "萨萨里斯"  # Sassaris
1774 = "塔尔维西翁"  # Tarvisium
1875 = "库涅翁"  # Cuneum
1933 = "巴里翁"  # Barium
2977 = "乌尔比农"  # Urbinum
2978 = "阿雷提翁"  # Arretium
2979 = "诺瓦里亚"  # Novaria
2980 = "卢卡"  # Luca
2981 = "斐拉图斯山"  # Mons Ferratus
2982 = "叙拉古"  # Syracusae
2983 = "萨勒耳农"  # Salernum
2984 = "孔森提亚"  # Consentia
2985 = "弗维亚"  # Fovea
2986 = "卡剌利斯"  # Caralis
2992 = "阿尔宾高农"  # Albingaunum
131 = "扎格剌比亚"  # Zagrabia
137 = "拉古西翁"  # Ragusium
138 = "狄奥克勒亚"  # Dioclea
139 = "扎克卢米亚"  # Zachlumia
142 = "科尔库剌"  # Corcyra
146 = "雅典"  # Athenae
149 = "哈德良波利斯"  # Adrianopolis
150 = "忒尔诺朋"  # Ternobum
151 = "君士坦丁波利斯"  # Constantinopolis
152 = "瓦剌斯狄农"  # Varasdinum
159 = "杜罗斯托戎"  # Durostorum
163 = "克雷塔"  # Creta
164 = "那克西亚"  # Naxia
1764 = "部尔顾斯"  # Burgus
1765 = "塞尔狄卡"  # Serdica
1766 = "科索维亚"  # Kosovia
1767 = "斯克拉沃尼亚"  # Sclavonia
1773 = "亚该亚"  # Achaia
1827 = "拉斯基亚"  # Rascia
1828 = "下帕尔忒斯"  # Partes Inferiores
1828 = "塔尔萨提卡"  # Tarsatica
1853 = "卡斯托里亚"  # Castoria
2746 = "玻诺尼亚"  # Bononia
2750 = "腓力波利斯"  # Philippopolis
3000 = "奈苏斯"  # Naissus
3001 = "斯科庇亚"  # Scopia
3002 = "维索卡"  # Visoka
316 = "特罗阿斯"  # Troas
