13 = "石勒苏益格"  # Slesvicko
40 = "克莱佩达"  # Klajpeda
41 = "克拉洛维茨"  # Královec
42 = "瓦尔米亚"  # Varmie
43 = "格但斯克"  # Gdansk
44 = "汉堡"  # Hamburk
45 = "吕贝克"  # Lubek
46 = "罗斯托克"  # Roztoky
48 = "科沃布"  # Kolobreh
49 = "新马尔卡"  # Nová Marka
52 = "德文"  # Devín
55 = "奥尔登堡"  # Oldenburk
57 = "布伦斯维克"  # Brunsvik
59 = "维腾贝格"  # Wittenberk
60 = "上卢萨蒂亚"  # Horní Luzice
61 = "德累斯顿"  # Drázdany
62 = "莱比锡"  # Lipsko
63 = "图林根"  # Durynsko
65 = "慕尼黑"  # Mnichov
66 = "班贝格"  # Bamberk
67 = "纽伦堡"  # Norimberk
69 = "上施瓦本"  # Horní Svabsko
73 = "蒂罗尔"  # Tyrolsko
74 = "巴登"  # Badensko
75 = "阿尔萨斯"  # Alsasko
76 = "萨尔茨堡"  # Solnohrad
78 = "美因茨"  # Mohuc
79 = "维尔茨堡"  # Vircpurk
80 = "特里尔"  # Trevír
81 = "黑森"  # Hesensko
82 = "威斯特法伦"  # Vestfalsko
83 = "拿骚"  # Nasavsko
85 = "科林"  # Kolín
89 = "皮卡第"  # Pikardie
90 = "弗兰德斯"  # Vlámsko
91 = "埃诺"  # Henegavsko
93 = "列日"  # Lutych
94 = "卢森堡"  # Lucembursko
96 = "西兰"  # Zeland
97 = "荷兰"  # Holandsko
99 = "海尔德兰"  # Geldern
100 = "弗里西亚"  # Frísko
101 = "热那亚"  # Janov
110 = "特伦托"  # Trident
111 = "弗留利"  # Furlansko
112 = "威尼斯"  # Benátky
116 = "佛罗伦萨"  # Florencie
118 = "罗马"  # Rím
121 = "那不勒斯"  # Neapol
123 = "卡拉布里亚"  # Kalábrie
128 = "克恩顿"  # Korutany
129 = "卡尔尼奥拉"  # Kransko
130 = "伊斯特拉"  # Istrie
131 = "萨格勒布"  # Záhreb
132 = "斯蒂利亚"  # Stýrsko
133 = "林茨"  # Linec
134 = "维登"  # Víden
136 = "达尔马提亚"  # Dalmacie
137 = "杜布罗夫尼克"  # Dubrovnik
140 = "波斯尼亚"  # Bosna
141 = "塞尔维亚"  # Srbsko
142 = "科孚岛"  # Korfu
143 = "阿尔巴尼亚"  # Albánie
146 = "雅典"  # Athény
147 = "色萨利"  # Thesálie
148 = "马其顿"  # Makedonie
149 = "德林诺波尔"  # Drinopol
151 = "君士坦丁堡"  # Carihrad
152 = "瓦拉日丁"  # Varazdin
154 = "新扎姆基"  # Nové Zámky
158 = "玛如斯"  # Maruse
160 = "奥尔特尼亚"  # Oltenie
161 = "特尔戈维什泰"  # Trhoviste
163 = "克里特"  # Kréta
168 = "诺曼底"  # Normandie
