13 = "石勒苏益格"  # Szlezwik
32 = "普里奥焦尔斯克"  # Prioziersk
33 = "纽瓦"  # Newa
34 = "因格里亚"  # Ingria
35 = "欧塞里亚"  # Ozylia
36 = "瑞沃尔"  # Rewal
37 = "利窝兰迪亚"  # Liwlandia
38 = "里加"  # Ryga
39 = "葛坦加"  # Goldynga
41 = "柯尼维克"  # Królewiec
42 = "奥尔什丁"  # Warmia
43 = "格但斯克"  # Gdansk
45 = "吕贝克"  # Lubeka
46 = "罗泽托卡"  # Roztoka
47 = "施特拉尔"  # Strzalów
48 = "科尔博泽格"  # Kolobrzeg
49 = "卢布斯卡"  # Santok
50 = "雷平"  # Rypin
52 = "德奇弯"  # Dziewin
57 = "不伦瑞克"  # Brunszwik
58 = "德萨瓦"  # Desawa
59 = "比亚拉戈拉"  # Biala Gora
60 = "明斯克"  # Milsko
61 = "德累斯顿"  # Drezno
62 = "利普斯克"  # Lipsk
63 = "埃尔福特"  # Jarobród
65 = "慕尼黑"  # Monachium
67 = "纽伦堡"  # Norymberga
69 = "上施瓦本"  # Górna Szwabia
70 = "符腾堡"  # Wirtembergia
72 = "布赖斯高"  # Bryzgowia
73 = "蒂罗尔"  # Tyrol
75 = "阿尔萨斯"  # Alzacja
76 = "慕尼黑"  # Monachium
78 = "美茵茨"  # Moguncja
80 = "特里尔"  # Trewir
81 = "黑森"  # Hesja
82 = "韦斯伐里亚"  # Westfalia
85 = "科洛尼亚"  # Kolonia
86 = "明娜斯特"  # Monastyr
110 = "特伦托"  # Trydent
128 = "卡林西亚"  # Karyntia
129 = "克拉尼"  # Kraina
133 = "林茨"  # Linec
134 = "威登"  # Wieden
151 = "卡洛格兰"  # Carogród
162 = "曾匹邻"  # Zemplin
165 = "伯尔尼"  # Berno
262 = "克拉科夫"  # Kraków
263 = "拉席波尔兹"  # Racibórz
264 = "弗罗茨瓦夫"  # Wroclaw
266 = "布拉格"  # Praga
267 = "比尔森"  # Pilzno
268 = "摩尔多瓦"  # Moldawia
270 = "特洛基"  # Troki
271 = "扎姆兹"  # Zmudz
272 = "维利诺"  # Wilno
273 = "拉塔利亚"  # Inflanty
274 = "平斯克"  # Psków
275 = "波洛茨克"  # Polock
277 = "布雷斯特"  # Brzesc
279 = "佛罗迪米尔"  # Wolyn
280 = "基日"  # Kijów
281 = "波多里"  # Podole
